"const_id","const_name"
"maori-003","Tau-toro"
"maori-004","The Great Boat of Tama Rereti"
"maori-005","Matakarehu"
"maori-006","The Sail of Tainui"
"mongolian-001","The Bow and the Arrow"
"mongolian-002","The Five Stars Woman"
"mongolian-003","The Seven Buddhas"
"mongolian-004","The Three Stags"
"navajo-001","Revolving Male"
"navajo-002","Revolving Female"
"navajo-003","Man with Feet Apart"
"navajo-004","Lizard"
"navajo-005","Dilyehe"
"navajo-006","First Big One"
"navajo-007","Rabbit Tracks"
"navajo-008","First Slim One"
"norse-001","Aurvandil's Toe"
"norse-002","Wolf's Mouth"
"norse-003","The Fishermen"
"norse-004","Woman's Cart"
"norse-005","Man's Cart"
"norse-006","The Asar Battlefield"
"ojibwe-001","Great Panther & Curly Tail"
"ojibwe-002","Wintermaker"
"ojibwe-003","Maang Loon"
"ojibwe-004","Fisher"
"ojibwe-005","Moose"
"ojibwe-006","Crane"
"ojibwe-007","Hero Teacher"
"ojibwe-008","Sweat Lodge"
"ojibwe-009","Exhausted Bather"
"ojibwe-010","Hole in the Sky"
"romanian-UMa","The Great Chariot"
"romanian-C3i","The She-Goat with Three She-Goat’s Kids"
"romanian-Csa","The Scythe"
"romanian-Tdz","God’s Chair"
"romanian-Hra","The Ring Dance"
"romanian-Fap","The Emperor’s Daughter with a Yoke"
"romanian-Cio","The Shepherd with His Sheep"
"romanian-Jgb","The Wall with a Drain"
"romanian-Ccp","The Hatching Hen with Her Chicks"
"romanian-UMi","The Little Chariot"
"romanian-Gem","The Brothers"
"romanian-Pma","The Great Cross"
"romanian-Pmi","The Little Cross"
"romanian-Cap","The He-Goat"
"romanian-Rac","The Crayfish"
"romanian-Cal","The Horse"
"romanian-Dra","The Dragon"
"romanian-Crb","The Raven"
"romanian-Cat","The Scales"
"romanian-Vir","The Virgin"
"romanian-Psc","The Carp"
"romanian-Ber","The Ram"
"romanian-Cma","The Mastiff"
"romanian-Ctl","The Little Dog"
"romanian-Vca","The Herdsman"
"romanian-Prb","The Turtle Dove"
"romanian-Var","He Who Pours Out the Water"
"romanian-Chi","The Whale"
"romanian-Rar","The Little Plough"
"romanian-Sec","The Sickle"
"romanian-Sfm","The Great Auger"
"romanian-Tau","The Bull"
"romanian-Omu","The Man"
"romanian-Sar","The Serpent"
"romanian-Sco","The Scorpion"
"romanian-Bar","The Axe"
"romanian-Arc","The Archer"
"romanian-Trf","The Three Saints"
"romanian-Vri","The Boars"
"sami-001","Sarva the Elk"
"sami-002","Favdna's Bow and Arrow"
"sami-003","Galla's Sons"
"sami-004","Sky Support"
"sami-005","Favdna"
"sami-006","The Runner"
"sami-007","Morning Star"
"sami-008","Pack of Dogs"
"sami-009","Galla"
"sami-010","The Ski Runners"
"sardinian-001","The Hut"
"sardinian-002","The Bunch"
"sardinian-003","The Seven Brothers"
"sardinian-004","The Sticks"
"sardinian-005","The Fence for Sheep"
"sardinian-006","The Dance of Widows"
"sardinian-007","The Sickle"
"sardinian-008","The Deer Horn"
"sardinian-009","The Cross of St. Constantine"
"sardinian-010","The Throne"
"sardinian-011","Three Marias"
"siberian-Elk","Elk"
"siberian-Kic","Threshers"
"siberian-DNe","Duck Nest"
"tongan-001","Southern Wild Duck"
"tongan-002","Two Men"
"tongan-003","Wild Duck"
"tongan-004","Pigeon Perch"
"tongan-005","Big Wild Duck"
"tongan-006","Mound Top"
"tongan-007","String of fishes"
"tongan-008","Wild Duck's Point of Land"
"tongan-009","Two Carriers"
"tongan-010","Cloud of 'Uvea"
"tongan-011","Wing of Tafahi"
"tukano-001","Snake"
"tukano-002","Armadillo"
"tukano-003","Caridean Shrimp"
"tukano-004","A kind of fish"
"tukano-005","Puma or Jaguar"
"tukano-006","Group of Stars"
"tukano-007","A kind of grill to cook fish"
"tukano-008","Adze Handle"
"tukano-009","Egret"
"tukano-010","Tortoise"
"tukano-011","Snake Large Anus"
"tupi-001","White Ostrich"
"tupi-002","Old Man"
"tupi-003","Tapi'i"
"tupi-004","Veado"
"tupi-005","Joykexo"
"tupi-006","Eixu"
"tupi-007","Tapi'i rainhyka"
"western-Aql","Aquila"
"western-And","Andromeda"
"western-Scl","Sculptor"
"western-Ara","Ara"
"western-Lib","Libra"
"western-Cet","Cetus"
"western-Ari","Aries"
"western-Pyx","Pyxis"
"western-Boo","Bootes"
"western-Cae","Caelum"
"western-Cha","Chamaeleon"
"western-Cnc","Cancer"
"western-Cap","Capricornus"
"western-Car","Carina"
"western-Cas","Cassiopeia"
"western-Cen","Centaurus"
"western-Cep","Cepheus"
"western-Com","Coma Berenices"
"western-Cvn","Canes Venatici"
"western-Aur","Auriga"
"western-Col","Columba"
"western-Cir","Circinus"
"western-Crt","Crater"
"western-CrA","Corona Australis"
"western-CrB","Corona Borealis"
"western-Crv","Corvus"
"western-Cru","Crux"
"western-Cyg","Cygnus"
"western-Del","Delphinus"
"western-Dor","Dorado"
"western-Dra","Draco"
"western-Nor","Norma"
"western-Eri","Eridanus"
"western-Sge","Sagitta"
"western-For","Fornax"
"western-Gem","Gemini"
"western-Cam","Camelopardalis"
"western-CMa","Canis Major"
"western-UMa","Ursa Major"
"western-Gru","Grus"
"western-Her","Hercules"
"western-Hor","Horologium"
"western-Hya","Hydra"
"western-Hyi","Hydrus"
"western-Ind","Indus"
"western-Lac","Lacerta"
"western-Mon","Monoceros"
"western-Lep","Lepus"
"western-Leo","Leo"
"western-Lup","Lupus"
"western-Lyn","Lynx"
"western-Lyr","Lyra"
"western-Ant","Antlia"
"western-Mic","Microscopium"
"western-Mus","Musca"
"western-Oct","Octans"
"western-Aps","Apus"
"western-Oph","Ophiuchus"
"western-Ori","Orion"
"western-Pav","Pavo"
"western-Peg","Pegasus"
"western-Pic","Pictor"
"western-Per","Perseus"
"western-Equ","Equuleus"
"western-CMi","Canis Minor"
"western-LMi","Leo Minor"
"western-Vul","Vulpecula"
"western-UMi","Ursa Minor"
"western-Phe","Phoenix"
"western-Psc","Pisces"
"western-PsA","Piscis Austrinus"
"western-Vol","Volans"
"western-Pup","Puppis"
"western-Ret","Reticulum"
"western-Sgr","Sagittarius"
"western-Sco","Scorpius"
"western-Sct","Scutum"
"western-Ser","Serpens"
"western-Sex","Sextans"
"western-Men","Mensa"
"western-Tau","Taurus"
"western-Tel","Telescopium"
"western-Tuc","Tucana"
"western-Tri","Triangulum"
"western-Tra","Triangulum Australe"
"western-Aqr","Aquarius"
"western-Vir","Virgo"
"western-Vel","Vela"
